sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,109.1595,105.6582,102.0586,85.5721,103.8880,91.4788,102.0468,84.9257,86.8409,112.6874
1,107.7623,104.4557,99.3085,89.0483,96.0765,89.5298,99.7292,88.2081,91.5323,107.5581
2,107.4455,102.1157,98.7607,84.1344,98.4303,92.0646,100.3036,86.4220,85.8616,106.3775
3,113.0746,108.2521,99.4125,82.7109,107.9069,91.2056,102.8560,81.8316,81.8625,121.7856
4,109.2256,104.9345,101.0508,83.1040,104.4781,88.2493,99.9832,81.0876,83.4038,115.9310
5,117.0866,108.7443,101.5349,82.1697,103.1017,92.7971,102.1892,78.1718,81.9160,116.3992
6,111.7740,107.4403,97.2343,81.2972,108.5349,88.0613,99.7294,81.3142,81.9769,121.9602
7,108.8859,105.1846,98.6641,87.3611,104.3572,90.1205,100.0668,83.8869,84.1194,118.5130
8,110.3701,109.5817,98.8660,79.4782,104.7526,87.3452,101.2828,78.3558,79.7353,114.3368
9,109.3271,104.6310,98.2198,86.5759,100.7381,88.5405,98.8089,86.9745,86.3990,120.3389
10,105.7513,104.3831,98.7102,88.2148,100.9271,90.9209,98.8967,87.2342,88.5282,110.3749
11,109.6916,103.9844,97.6124,85.3945,100.8899,91.9273,98.7406,83.2651,84.1413,109.8272
12,112.0109,106.8054,98.6207,80.0430,102.0573,88.5616,98.8499,76.6763,79.0072,117.3465
13,102.4997,101.1038,96.1340,90.0758,95.7786,91.4688,97.0448,88.5234,90.7199,108.5608
14,107.5687,105.5316,102.3870,88.7793,102.8481,97.3866,101.3849,88.0247,90.6781,112.5042
15,106.0149,104.9578,99.7033,82.8719,100.3341,90.8393,100.4243,84.0942,85.5186,111.8248
16,111.0007,106.5423,98.3028,82.5394,102.9156,88.8420,101.0559,81.4481,85.1625,114.4234
17,110.9088,106.7987,100.2399,82.7428,107.8523,92.2825,102.5896,82.7119,83.2429,117.3719
18,106.1417,105.8203,98.3069,83.0057,97.9865,85.9871,99.6799,82.4757,84.9576,116.1433
19,109.2854,104.9267,100.7381,86.7528,99.8480,91.6356,100.2117,85.1647,89.7116,113.6151
20,111.4863,107.9295,97.7408,82.9253,103.5883,90.0444,100.4335,81.0789,83.7690,114.9254
21,109.8642,102.2571,99.6791,84.8432,99.3533,89.5616,99.9497,85.3654,87.1128,111.1394
22,113.5194,104.9504,97.6406,86.4180,105.2797,94.7906,99.7749,83.4079,86.1050,111.7028
23,108.8291,106.5799,99.4153,91.1528,104.4277,96.2601,101.6649,91.1340,96.6664,113.6768
24,110.1771,103.4538,98.3312,88.1986,97.1177,89.3289,99.0695,87.2393,88.6853,112.8636
25,109.3654,105.4300,96.7070,84.8547,98.8359,86.3213,96.7716,85.1151,86.9131,116.5737
26,108.2892,104.9504,97.5869,83.3622,100.0457,89.2131,97.8499,80.9906,83.2081,113.2567
27,110.5753,108.1626,101.2300,85.3158,103.5535,91.9985,100.5165,81.5972,85.6013,114.0680
28,112.2332,106.2739,101.6959,83.9969,102.7043,93.3144,102.7034,84.1904,86.6780,116.5881
29,106.9367,103.5763,95.4846,85.0060,106.0680,92.2937,99.0241,83.0752,86.9301,109.5587
30,102.4097,101.7322,95.7050,95.0878,100.9909,93.8257,98.3293,95.0615,96.8859,110.4160
31,107.2670,103.2051,97.6491,90.2187,99.9604,91.3344,98.2466,90.0859,92.3845,108.0764
32,111.6318,109.5963,103.3352,83.7751,110.1469,95.0727,104.4234,83.0898,89.3802,120.6723
33,111.0351,107.1107,102.4691,77.9578,102.3568,87.1750,102.5825,77.3121,77.3267,121.0433
34,107.0117,107.3497,101.9825,80.8418,105.5213,86.6937,102.3882,80.9785,81.1120,118.6007
35,113.9948,107.0803,100.7124,84.6049,104.1860,94.2403,101.2385,82.8346,85.1121,113.1284
36,107.1102,104.7247,97.5063,94.3134,100.7570,95.6857,99.4566,92.3369,94.7397,110.4557
37,107.4912,105.4713,98.5732,89.8558,102.1781,95.6603,100.4156,89.5578,91.2517,110.4091
38,112.1941,105.2334,100.5344,84.0903,100.0980,92.1214,101.5094,82.5828,86.7960,115.3308
39,108.4599,103.9036,98.5150,85.7834,102.7348,92.0928,100.1073,85.8476,89.1764,112.7508
40,105.7964,104.1670,103.8768,89.3743,104.2751,94.5753,103.9022,88.0950,88.1681,110.1351
41,108.9765,104.3093,102.1314,84.7796,103.8140,101.8251,101.9836,83.7196,84.8446,108.7874
42,109.7160,108.0668,102.4627,87.6890,105.9350,90.4074,102.0220,85.7104,84.5331,120.1115
43,103.9269,105.5276,99.8025,84.7131,100.5636,92.0824,100.8272,83.5468,88.4287,113.8656
44,106.7939,102.2460,95.0525,89.6851,98.8182,89.5583,97.8606,86.4098,84.8932,114.4486
