sequence_id,predicted_genome,decision_type,k3_prediction,k5_prediction,k7_prediction,vote_counts
0,NC_015656,unanimous,8,8,8,"{8: 3}"
1,NC_015656,unanimous,8,8,8,"{8: 3}"
2,NC_015656,tie_breaker,1,7,8,"{1: 1; 7: 1; 8: 1}"
3,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
4,NC_015656,unanimous,8,8,8,"{8: 3}"
5,NC_015656,unanimous,8,8,8,"{8: 3}"
6,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
7,NC_015656,unanimous,8,8,8,"{8: 3}"
8,NC_015656,unanimous,8,8,8,"{8: 3}"
9,NC_009511,majority,7,1,7,"{7: 2; 1: 1}"
10,NC_015656,unanimous,8,8,8,"{8: 3}"
11,NC_015656,unanimous,8,8,8,"{8: 3}"
12,NC_015656,unanimous,8,8,8,"{8: 3}"
13,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
14,NC_015656,unanimous,8,8,8,"{8: 3}"
15,NC_015859,unanimous,1,1,1,"{1: 3}"
16,NC_015656,unanimous,8,8,8,"{8: 3}"
17,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
18,NC_015656,unanimous,8,8,8,"{8: 3}"
19,NC_015656,unanimous,8,8,8,"{8: 3}"
20,NC_015656,unanimous,8,8,8,"{8: 3}"
21,NC_015859,unanimous,1,1,1,"{1: 3}"
22,NC_015656,unanimous,8,8,8,"{8: 3}"
23,NC_015656,unanimous,8,8,8,"{8: 3}"
24,NC_015656,unanimous,8,8,8,"{8: 3}"
25,NC_015859,tie_breaker,7,8,1,"{7: 1; 8: 1; 1: 1}"
26,NC_015656,unanimous,8,8,8,"{8: 3}"
27,NC_015656,unanimous,8,8,8,"{8: 3}"
28,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
29,NC_015656,unanimous,8,8,8,"{8: 3}"
30,NC_009767,unanimous,3,3,3,"{3: 3}"
31,NC_015656,unanimous,8,8,8,"{8: 3}"
32,NC_015859,unanimous,1,1,1,"{1: 3}"
33,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
34,NC_015859,unanimous,1,1,1,"{1: 3}"
35,NC_015656,unanimous,8,8,8,"{8: 3}"
36,NC_015656,unanimous,8,8,8,"{8: 3}"
37,NC_015656,unanimous,8,8,8,"{8: 3}"
38,NC_015656,unanimous,8,8,8,"{8: 3}"
39,NC_015656,unanimous,8,8,8,"{8: 3}"
40,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
41,NC_015656,unanimous,8,8,8,"{8: 3}"
42,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
43,NC_015656,unanimous,8,8,8,"{8: 3}"
44,NC_009511,unanimous,7,7,7,"{7: 3}"
45,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
46,NC_015656,tie_breaker,3,7,8,"{3: 1; 7: 1; 8: 1}"
47,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
48,NC_009511,majority,7,7,3,"{7: 2; 3: 1}"
49,NC_015859,unanimous,1,1,1,"{1: 3}"
50,NC_015656,unanimous,8,8,8,"{8: 3}"
51,NC_009511,unanimous,7,7,7,"{7: 3}"
52,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
53,NC_015656,unanimous,8,8,8,"{8: 3}"
54,NC_015656,unanimous,8,8,8,"{8: 3}"
55,NC_015656,unanimous,8,8,8,"{8: 3}"
56,NC_011138,majority,6,6,8,"{6: 2; 8: 1}"
57,NC_015656,unanimous,8,8,8,"{8: 3}"
58,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
59,NC_009767,tie_breaker,7,1,3,"{7: 1; 1: 1; 3: 1}"
60,NC_015656,unanimous,8,8,8,"{8: 3}"
61,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
62,NC_015656,unanimous,8,8,8,"{8: 3}"
63,NC_015656,unanimous,8,8,8,"{8: 3}"
64,NC_015656,unanimous,8,8,8,"{8: 3}"
65,NC_015656,unanimous,8,8,8,"{8: 3}"
