sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,110.3904,107.1246,102.3946,86.9742,103.7324,92.5840,102.9035,87.1353,89.4569,112.3967
1,107.5742,105.4488,100.3536,90.5482,98.0507,91.3173,100.6230,90.2775,92.0790,108.9778
2,108.1739,103.1587,100.4047,87.6364,99.5823,92.7092,101.1272,88.9945,89.1881,108.2728
3,112.8165,109.6175,101.0026,85.0209,110.8644,92.3390,104.1083,84.1946,83.5406,123.2538
4,109.4063,106.5285,101.1014,86.1121,104.5053,89.4153,100.4456,83.6885,84.9416,116.4068
5,115.9916,108.3258,101.7465,82.1280,103.9758,92.6652,102.1551,79.0300,82.2090,116.5842
6,110.3752,109.4704,97.5880,83.3368,109.9787,89.5608,101.0725,82.9236,83.2501,121.3275
7,109.1587,106.8968,99.5473,88.3907,104.9334,90.4851,101.1940,85.5026,85.8575,117.5431
8,110.5683,110.3688,99.0281,79.7470,104.5066,86.9761,102.3897,79.3237,80.7072,116.3487
9,108.5567,106.8507,100.2109,89.5633,101.8601,89.1268,100.4704,89.9546,89.5856,119.0574
10,106.6538,104.7629,100.3252,90.3194,101.3755,93.2751,100.2550,90.0123,91.2410,110.5494
11,109.8631,103.8762,98.9596,87.8586,101.4639,94.3576,99.8162,86.0813,87.6744,109.6953
12,110.3901,107.4270,99.8853,81.3873,103.9367,90.0606,99.7879,79.1773,80.6949,116.6903
13,103.2475,102.1165,97.5031,91.6966,98.4700,93.3289,98.2414,90.3630,92.7359,110.0374
14,107.8887,105.7720,102.6572,90.3462,102.6439,97.9878,102.4795,89.3163,91.1656,112.9014
15,106.0073,106.4458,100.6022,84.7845,101.0397,91.3425,101.2420,85.1032,86.8764,113.8743
16,109.9758,107.6099,99.6602,83.0486,104.0089,89.3966,102.3571,82.9005,86.7303,114.9278
17,110.6804,106.6410,101.1073,85.3394,109.2546,93.7304,103.4752,84.8741,84.5873,119.2570
18,108.0098,106.2347,100.7140,85.8862,100.2791,88.8488,102.0632,85.4268,87.3103,117.1999
19,109.7933,106.9797,101.9454,87.0991,100.9772,93.3934,101.6976,87.1161,91.3143,113.4174
20,111.3464,108.0584,98.7568,83.9523,104.7370,91.0532,101.2332,82.9090,84.5722,115.9173
21,108.3627,103.4550,101.8570,86.4227,100.2365,91.2400,100.9705,87.6116,88.6831,113.0221
22,112.2355,105.5087,97.9252,88.5018,105.7833,94.8741,100.1536,85.9194,87.8777,111.1794
23,109.4202,107.2613,100.9587,93.2885,106.0266,96.6257,103.3803,93.5628,98.1590,113.5977
24,110.9001,104.9593,98.6914,90.2385,98.9741,90.7180,99.4826,89.2293,90.5941,113.5784
25,108.2249,107.5538,98.0575,86.9756,99.7946,88.3464,98.4034,86.7860,89.8490,116.6087
26,107.8602,105.3582,97.9680,84.6667,100.1079,89.2197,98.6787,83.2156,85.2558,113.3666
27,110.2234,107.6347,101.5575,84.6769,103.6470,92.4473,101.1217,82.7719,86.1407,113.3588
