sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,135.2808,100.6970,99.5149,81.6844,104.6674,89.8976,100.8855,81.0822,83.0961,116.2219
1,113.8910,98.5956,96.7549,86.2294,92.5603,86.6481,95.8099,85.1815,89.1052,108.1459
2,103.5751,97.8348,95.0991,79.5372,95.2972,89.4966,95.7067,82.1666,81.5044,102.9048
3,117.1525,105.7028,95.4728,77.7102,103.9030,89.6882,99.1245,77.1376,77.4539,151.6333
4,111.8761,103.0349,98.6352,78.9837,100.3399,84.3021,96.3840,76.8618,81.1498,131.8281
5,156.1969,114.9830,100.0027,79.9956,99.9209,90.5214,99.8326,74.8802,79.3339,126.8038
6,127.3869,105.8575,94.3272,75.9521,106.3370,82.9178,96.4843,76.1354,78.8709,144.4659
7,118.0933,101.2246,96.2459,85.9870,103.4715,88.4936,97.0685,81.6081,83.9668,149.7287
8,113.7060,108.2489,95.3285,76.4866,103.6836,86.2344,98.6652,75.8894,76.9083,123.1761
9,117.4456,104.1685,93.0039,84.1050,97.4549,85.3828,95.1824,83.8812,82.7003,143.6030
10,104.6088,99.1867,94.1110,83.0531,98.9951,87.3431,96.3562,81.7024,84.6695,123.6177
11,117.7343,99.0651,95.4343,82.3048,100.8689,88.3651,97.3199,79.4363,80.5543,123.5153
12,127.4146,106.2673,96.0036,76.7438,98.8274,86.2879,95.7650,71.7976,76.3422,119.2282
13,97.5263,96.0825,93.5862,84.9074,89.8513,88.1324,93.4306,83.2542,86.0086,101.3710
14,114.4904,106.1817,100.1743,86.6158,102.7426,96.1921,98.2208,85.5258,88.7758,109.2749
15,114.3780,108.7555,97.5784,80.3766,99.1197,87.7755,97.8577,81.9454,83.0872,119.0613
16,123.1353,105.8722,95.0003,80.7356,100.9312,84.6474,97.6183,77.8372,82.0244,136.9245
17,119.2650,102.1756,96.1785,78.1422,104.6021,87.2668,99.6002,77.3446,79.7454,130.8537
18,109.8676,107.7275,94.4348,78.4722,95.5755,80.1014,95.2004,77.3786,79.8730,116.2481
19,101.5636,106.1120,99.2230,84.3493,100.4034,89.3429,97.7667,80.9185,86.3822,125.8780
20,121.2062,102.9215,94.5045,81.8293,99.5434,86.8039,99.2425,78.9245,83.5790,113.4406
21,121.8324,100.5221,97.5294,79.3530,95.7243,85.9039,97.6396,79.7632,80.9306,110.3315
22,134.3304,102.7102,94.1520,82.7274,101.4353,91.4123,96.0639,77.9157,83.6111,113.2416
23,111.6050,104.2113,95.4560,85.1387,101.4747,95.2361,96.9497,80.6262,92.1585,136.4855
24,133.2137,101.8744,95.4456,83.6207,92.3672,87.8788,96.7728,83.1179,85.9781,108.6882
25,120.9612,98.4402,93.0045,81.9770,96.2000,84.8676,93.9590,81.2463,80.8138,114.0426
26,112.2735,101.4001,94.7802,81.3109,97.5730,85.7799,94.9936,78.0423,80.7897,115.6850
27,141.3454,106.4165,99.4273,83.3167,102.6915,88.9541,98.5561,77.1493,81.6271,111.1144
28,120.7509,101.3307,95.8013,80.0761,96.6582,87.8027,99.1691,79.8247,82.2722,117.6061
29,100.4610,100.6579,91.7411,81.4899,105.6167,90.5697,94.8553,78.6270,82.7978,115.7812
30,106.2105,105.0596,91.9850,93.1142,96.4073,89.7093,94.5725,91.3987,96.3691,118.5118
31,112.3633,103.2554,95.2876,89.0446,97.0532,91.3973,96.1144,88.5098,90.7207,114.4709
32,126.6438,107.6383,100.1506,80.6972,109.5668,91.7886,102.1186,80.7122,87.9980,162.1033
33,110.9891,104.5369,98.3199,73.3538,99.1882,85.0699,99.0298,72.1759,71.4311,141.4649
34,111.3800,101.3517,100.1081,76.6331,101.2445,84.8517,101.5136,76.7775,79.1028,133.2755
35,148.6315,106.6189,99.1317,82.6879,103.0879,92.6296,97.0222,77.9999,83.1319,132.8158
36,104.6026,109.4497,93.8983,91.7272,98.9105,95.2996,96.7397,88.2638,91.6872,113.9896
37,112.7167,104.1256,96.7143,89.6152,99.7365,96.2265,97.8920,88.7661,91.2841,106.1931
38,142.0657,101.8125,98.6096,82.9785,99.8318,91.4274,100.0775,79.8698,84.4392,144.0750
39,116.1233,110.2048,93.4636,82.9063,98.4849,90.4658,96.3445,82.4858,86.3142,123.0629
40,104.3767,103.3202,102.4209,86.3951,101.4149,93.0073,101.0609,83.6526,83.7389,125.2117
41,137.9517,105.0941,100.1140,80.3095,100.4260,100.4744,98.9572,79.5547,82.5742,105.3416
42,108.9407,106.4121,98.2259,83.4283,104.7027,87.0238,97.9661,82.8922,81.2421,166.1259
43,108.6728,105.9680,97.2364,82.6360,98.4482,89.4821,98.4849,80.5851,84.9312,115.4682
44,105.2125,96.6781,92.5318,86.7745,94.7727,87.0708,94.8756,83.2901,81.2605,119.7950
45,136.8230,106.3625,102.1584,82.6522,97.4887,85.3880,100.1551,83.3980,84.7811,116.2189
46,109.7407,100.9479,98.6119,95.9672,100.2975,94.2148,97.3417,94.3030,95.2954,116.1048
47,95.1579,98.3810,89.2407,81.0972,91.9325,83.8141,90.5388,82.9022,86.1670,98.3524
48,100.4838,102.4529,95.3111,87.5261,97.2325,83.0479,92.6242,83.2288,81.7681,129.1908
49,123.4796,100.3864,99.3504,79.1237,97.8184,89.5064,96.1437,80.1662,85.4730,106.9458
50,106.5641,103.7525,99.7133,86.7012,105.9066,92.6844,100.1991,84.9265,89.9704,114.0596
51,106.5655,100.3445,93.5974,80.5519,100.9017,87.8554,96.4027,79.8257,77.6413,120.8746
52,138.3048,105.1237,100.1464,80.6256,105.2625,93.2900,100.9996,79.9873,80.8641,132.9889
53,117.1735,103.6455,96.2099,79.8262,95.4510,90.0992,97.5754,78.2138,79.5570,106.8589
54,108.4759,100.8456,96.7198,86.2247,100.6179,92.8629,98.1115,84.7499,95.0468,107.8748
55,115.5053,102.9313,96.8091,82.7226,102.9254,91.1975,98.5928,82.0640,85.7452,137.7802
56,94.6498,97.7578,90.2387,101.7681,97.2358,103.8512,93.9108,99.8819,105.5084,143.7415
57,116.3748,108.0057,96.2933,85.9519,103.9803,94.3846,99.5587,83.4634,91.0418,127.9042
58,118.8006,107.7743,97.0720,79.4722,99.7808,83.5962,97.3082,80.5428,80.8770,122.8529
59,103.6411,100.5801,93.4009,83.5307,94.3650,84.5009,95.3378,84.8562,83.0621,123.8900
60,101.8277,99.7614,89.8461,83.3670,94.1215,88.0944,94.3499,82.7463,88.5208,97.3118
61,116.4757,104.3193,97.6688,83.1601,96.8546,88.4448,97.8926,83.2088,81.6788,121.4984
62,105.6311,100.2699,95.1377,86.6036,96.8922,90.1808,96.3796,84.7915,88.7797,115.8513
63,116.9486,108.2303,92.9271,80.0488,99.3185,83.0520,97.0949,74.6834,82.4862,130.0401
64,100.3186,98.0345,95.0985,92.8726,93.4651,95.6825,96.0822,89.6137,91.1721,98.0250
65,93.2885,100.4662,93.7460,91.7599,95.2360,92.1909,92.7791,87.2565,94.3951,116.4613
66,108.1554,103.0008,96.7819,82.5283,98.6866,90.4509,98.6195,83.3735,85.0766,105.6393
67,102.2298,105.2035,94.2918,83.9226,96.1102,83.1200,98.0244,82.5399,84.1341,107.9338
68,107.2371,102.8012,93.9797,84.8054,105.1261,91.5411,97.6128,82.5186,82.8225,125.2919
69,122.3631,101.4835,92.2027,85.7881,99.5348,89.5000,97.8194,84.7619,86.5176,110.1409
70,98.7236,97.9085,97.6348,89.7846,97.0060,89.4042,96.4707,88.1906,94.2539,103.8806
71,139.5967,106.6029,95.5128,85.5652,100.5022,84.1969,99.5620,81.9097,81.4034,130.4341
72,128.4999,105.6752,94.0321,80.5024,102.3387,86.5938,96.4963,76.2156,75.7454,126.2905
73,111.8039,106.2336,95.6841,78.9804,100.0196,87.5837,95.0516,78.1133,81.4245,123.5499
74,122.5291,104.0129,96.1878,85.9495,96.2127,90.8197,97.6380,85.0713,93.2381,107.5096
75,117.2885,110.1804,93.5770,78.9781,105.5147,90.1692,96.1405,77.5208,85.6439,127.0760
76,121.3112,99.6923,92.6253,78.9112,100.2069,85.8908,95.3251,76.7282,77.2402,102.7734
77,103.7205,99.6766,93.7558,84.2000,102.5759,88.1467,93.8085,83.4502,89.2927,112.1366
78,126.8067,103.6306,97.7595,83.8445,104.3698,87.6724,98.3079,83.6746,87.5967,141.7148
79,107.0249,105.9083,96.6300,85.4954,100.1423,88.4414,98.5619,82.1532,83.3469,121.8362
80,106.5785,99.2192,94.1956,85.7617,91.0195,83.3512,93.5310,83.6787,85.7814,103.7147
81,107.3261,104.4285,96.4108,85.2909,100.7747,90.4926,95.3609,81.9104,91.9291,110.9229
82,117.3839,107.5009,97.4635,78.0982,100.6857,82.3752,98.7897,76.9199,81.2021,129.5116
83,100.2704,95.0344,93.6059,97.0667,98.5363,91.5009,91.7875,97.2170,98.5220,119.5177
84,113.1223,102.7909,99.2662,89.2277,100.8099,87.9535,100.2179,86.3278,89.3219,111.5184
85,146.6330,107.6872,95.8660,83.2909,101.3456,92.3070,98.5306,80.5546,81.2989,135.5223
86,115.0456,104.4041,95.4756,85.8067,98.3039,91.3333,96.2488,84.2327,87.1322,113.0957
87,129.9780,108.6905,97.8687,83.0489,105.6389,95.0620,100.5796,79.3885,84.0488,138.6937
88,129.6752,105.6764,96.2493,79.4812,95.0916,84.1421,95.3330,77.4386,79.9995,109.2384
89,102.1459,97.4957,94.3791,78.6424,97.2592,87.2834,94.2107,76.1445,79.9269,108.8399
90,102.9994,109.3257,94.9286,82.0109,99.1691,83.3295,96.2107,81.7796,87.2985,112.2677
91,100.7348,95.1989,91.0949,106.5474,96.5914,93.8497,93.0730,100.5931,110.0225,100.7005
92,103.3013,100.4259,91.7219,82.8496,94.1157,89.5437,93.6518,80.0404,85.7226,117.1517
